,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
62,Avenches,46.879575,7.040941,La Romana,46.88429244697108,7.040949487656909,Diner
63,Avenches,46.879575,7.040941,Restaurant des Bains,46.883392,7.045397,Restaurant
64,Avenches,46.879575,7.040941,Boulangerie Pâtisserie Aeby,46.87937560034161,7.024369446978878,Bakery
65,Avenches,46.879575,7.040941,Restaurant Mont Vully,46.89347891756553,7.0458498341444935,Food
66,Avenches,46.879575,7.040941,Station Pizza,46.8707,7.021337,Pizza Place
67,Ballaigues,46.7305278,6.4132441,Chalet des Cernys,46.73359,6.403344,Swiss Restaurant
68,Ballaigues,46.7305278,6.4132441,La Thiolle,46.736868502053596,6.425941391342741,Swiss Restaurant
69,Ballens,46.5542745,6.3750843,Auberge Communale De Ballens,46.55462,6.3742642,Pizza Place
70,Bassins,46.464053,6.2316394,Boulangerie et Epicerie Badel Yvette,46.4718371436378,6.2297016593251255,Bakery
71,Bassins,46.464053,6.2316394,"Auberge La Charrue, Le Vaud",46.47764,6.2356477,Italian Restaurant
72,Bassins,46.464053,6.2316394,Auberge Communale L'Union Arzier,46.45985604375634,6.208391189575195,Swiss Restaurant
73,Bassins,46.464053,6.2316394,Auberge de l'Union,46.45992995064908,6.2082624435424805,French Restaurant
74,Bassins,46.464053,6.2316394,La Cezille,46.446165,6.232978,Steakhouse
75,Baulmes,46.7903981,6.5212523,L'Auberge,46.78932122,6.52116732,Restaurant
76,Bavois,46.6852168,6.5651139,Burger King,46.674564,6.568835,Burger Joint
77,Bavois,46.6852168,6.5651139,Buvette des Peupliers,46.689321,6.559525,Restaurant
78,Bavois,46.6852168,6.5651139,Passaggio Restaurant,46.67455832934874,6.569254505256179,Restaurant
79,Bavois,46.6852168,6.5651139,Autogrill Bavois,46.674542211001736,6.568882203434506,Restaurant
80,Bavois,46.6852168,6.5651139,Le Petit Corbeau,46.702515,6.5699487,Restaurant
81,Begnins,46.4424616,6.2471998,Café Du Raisin,46.44105798997391,6.249657752120604,Diner
82,Begnins,46.4424616,6.2471998,Croix Verte,46.42897501179351,6.249941827320681,Swiss Restaurant
83,Begnins,46.4424616,6.2471998,Auberge Communale de Luins,46.4439415178676,6.272478716602336,Swiss Restaurant
84,Begnins,46.4424616,6.2471998,Ecu Vaudois,46.44063659662596,6.247666566587601,Swiss Restaurant
85,Begnins,46.4424616,6.2471998,Margaux Restaurant,46.4406941768731,6.248224340201901,Restaurant
86,Belmont-sur-Lausanne,46.5200729,6.6800519,Auberge de Lavaux,46.51360545416649,6.679964796564932,French Restaurant
87,Belmont-sur-Lausanne,46.5200729,6.6800519,La Stella,46.510263,6.660931,Pizza Place
88,Belmont-sur-Lausanne,46.5200729,6.6800519,Non-Stop,46.50267085246779,6.685645719171916,Burger Joint
89,Belmont-sur-Lausanne,46.5200729,6.6800519,Restaurant Le Belmont,46.520217130498445,6.678104208593183,French Restaurant
90,Belmont-sur-Lausanne,46.5200729,6.6800519,La Terrasse,46.503857106544416,6.678535406996833,Restaurant
