,OFS,Commune,District,Population,Area,Density,Latitude,Longitude
76,5785,Corcelles-le-Jorat,Broye-Vully,445,7.93,56,46.6058744,6.7407986
77,5555,Corcelles-près-Concise,Jura-Nord vaudois,401,4.09,98,46.853630499999994,6.700662929065754
78,5816,Corcelles-près-Payerne,Broye-Vully,2479,12.13,204,46.84382325,6.968499065384532
79,5883,Corseaux,Riviera-Pays-d'Enhaut,2282,1.06,2153,46.4722747,6.8320071
80,5884,Corsier-sur-Vevey,Riviera-Pays-d'Enhaut,3386,6.75,502,46.4937934,6.8716012238651825
81,5477,Cossonay,Morges,3871,8.29,467,46.6138202,6.508938
82,5478,Cottens,Morges,486,2.36,206,46.5718814,6.4547941
83,5713,Crans-près-Céligny,Nyon,2193,4.32,508,46.36353095,6.201769620801889
84,5714,Crassier,Nyon,1175,2.03,579,46.374331,6.164548
85,5583,Crissier,Ouest lausannois,7905,5.51,1435,46.5538658,6.5772501
86,5910,Cronay,Jura-Nord vaudois,385,6.59,58,46.7571842,6.6966405
87,5752,Croy,Jura-Nord vaudois,404,4.48,90,46.6945678,6.4771721
88,5479,Cuarnens,Morges,479,7.14,67,46.6248084,6.4382631
89,5911,Cuarny,Jura-Nord vaudois,243,4.57,53,46.7700368,6.6884422
90,5456,Cudrefin,Broye-Vully,1633,15.82,103,46.9560359,7.0183078
91,5516,Cugy,Gros-de-Vaud,2742,2.9,946,46.5842947,6.6404485
92,5669,Curtilles,Broye-Vully,313,4.95,63,46.7005524,6.8486858
93,5480,Daillens,Gros-de-Vaud,1027,5.52,186,46.6202897,6.5487115
94,5912,Démoret,Jura-Nord vaudois,141,4.27,33,46.7466929,6.7570249
95,5631,Denens,Morges,747,3.29,227,46.518323,6.4564786
96,5632,Denges,Morges,1610,1.66,970,46.5241679,6.5402546
97,5481,Dizy,Morges,223,3.04,73,46.6348867,6.4949896
98,5671,Dompierre,Broye-Vully,239,3.21,74,46.7081899,6.8835369
99,5913,Donneloye,Jura-Nord vaudois,809,9.01,90,46.744325,6.7155281
100,5715,Duillier,Nyon,1085,4.11,264,46.4097312,6.235451
101,5855,Dully,Nyon,635,1.66,383,46.4304617,6.2957383
102,5518,Échallens,Gros-de-Vaud,5742,6.66,862,46.6381163,6.6346951
103,5633,Échandens,Morges,2789,3.88,719,46.534381,6.5410474
104,5634,Échichens,Morges,3050,13.3,229,46.5265541,6.4978862
105,5482,Éclépens,Morges,1211,5.81,208,46.6515007,6.5285061
106,5635,Écublens,Ouest lausannois,12939,5.71,2266,46.5261672,6.5620735
107,5584,Épalinges,Lausanne,9624,4.57,2106,46.547327,6.6726245
108,5914,Épendes,Jura-Nord vaudois,360,4.83,75,46.7431583,6.6083432
109,5788,Essertes,Lavaux-Oron,374,1.65,227,46.5623795,6.7894493
110,5856,Essertines-sur-Rolle,Nyon,726,6.95,104,46.481132849999995,6.3037175615185745
111,5520,Essertines-sur-Yverdon,Gros-de-Vaud,1024,9.75,105,46.7212515,6.650684419149635
