,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Aclens,46.5680294,6.51076,Auberge Communcale d'Aclens,46.56781304341187,6.509564413908759,Restaurant
1,Aclens,46.5680294,6.51076,Centrale De Distribution COOP,46.56570769446138,6.523242303992845,Snack Place
2,Aclens,46.5680294,6.51076,La Pause,46.561356,6.521865,Diner
3,Aclens,46.5680294,6.51076,Restaurant Du Moulin,46.562374010804355,6.524105209851519,Diner
4,Aclens,46.5680294,6.51076,Cuisine Back2Noize,46.562137603759766,6.524360179901123,Cafeteria
5,Agiez,46.7199018,6.508106,Le Normand,46.719919,6.507214,Diner
6,Agiez,46.7199018,6.508106,restaurant de la treille,46.73280785997693,6.510154754984342,Restaurant
7,Aigle,46.3179006,6.9688929,Michelangelo,46.320687,6.959816,Italian Restaurant
8,Aigle,46.3179006,6.9688929,L'usine,46.307949116339245,6.967814585125875,Bistro
9,Aigle,46.3179006,6.9688929,Restaurant Xiang Long,46.31730746190541,6.970088803084121,Chinese Restaurant
10,Aigle,46.3179006,6.9688929,Le Mondial,46.31767868279462,6.966800069608517,Falafel Restaurant
11,Aigle,46.3179006,6.9688929,Thai Basilic,46.318909320637076,6.968447659248217,Thai Restaurant
12,Aigle,46.3179006,6.9688929,Bar 118,46.31731512752565,6.9690483831102314,Diner
13,Aigle,46.3179006,6.9688929,Pizzeria des Alpes,46.319163,6.968413,Pizza Place
14,Aigle,46.3179006,6.9688929,Buffet de la Gare,46.3169,6.96443,Food
15,Aigle,46.3179006,6.9688929,café pizzeria des petits trains,46.31670066162415,6.964220338066571,Café
16,Aigle,46.3179006,6.9688929,Pinte du Paradis,46.314967754262284,6.975769146537114,Food
17,Allaman,46.4707776,6.396174,Restaurant du Chasseur,46.469627,6.396397,Argentinian Restaurant
18,Allaman,46.4707776,6.396174,Auberge des Grands-Bois,46.470202006894105,6.408418648466566,Italian Restaurant
19,Allaman,46.4707776,6.396174,IKEA Restaurant,46.476762,6.396316,Scandinavian Restaurant
20,Allaman,46.4707776,6.396174,Restaurant La Pêcherie,46.46507555909578,6.382504933075813,Seafood Restaurant
21,Allaman,46.4707776,6.396174,Restaurant Pizzeria de la Gare d’Allaman,46.47627083,6.3994185,Pizza Place
22,Allaman,46.4707776,6.396174,Istanbul Kebab,46.47683634301146,6.402671266089465,Falafel Restaurant
23,Allaman,46.4707776,6.396174,Sabai Thai,46.473951,6.408611,Thai Restaurant
24,Apples,46.5516727,6.4267658,Restaurant la Pomme d'Or,46.55221336231452,6.4289202887436,Restaurant
25,Apples,46.5516727,6.4267658,Les Marmitons Du Terroir,46.558717,6.432974,Restaurant
26,Apples,46.5516727,6.4267658,Credit Agricole Pantry @ MBC,46.559105,6.432179,Cafeteria
27,Apples,46.5516727,6.4267658,Café du Promeneur,46.54165937612135,6.438811719417571,Bistro
28,Arnex-sur-Nyon,46.3759907,6.1913819,Zigolini,46.37379691277416,6.19934671538488,Café
29,Arnex-sur-Nyon,46.3759907,6.1913819,Auberge Du Vieux Bois,46.37732523905244,6.179544712986377,Food
30,Arnex-sur-Nyon,46.3759907,6.1913819,La Ferme,46.378332,6.176326,Diner
31,Arnex-sur-Nyon,46.3759907,6.1913819,Ecusson-Vaudois,46.380897,6.205879,Swiss Restaurant
32,Arnex-sur-Nyon,46.3759907,6.1913819,Malakoffs,46.380743,6.206015,Swiss Restaurant
33,Arnex-sur-Orbe,46.6883074,6.515294727707008,Toucan,46.694443,6.519075,Gluten-free Restaurant
34,Arzier-Le Muids,46.4599808,6.208069,Auberge de l'Union,46.45992995064908,6.2082624435424805,French Restaurant
35,Arzier-Le Muids,46.4599808,6.208069,Auberge Communale L'Union Arzier,46.45985604375634,6.208391189575195,Swiss Restaurant
36,Arzier-Le Muids,46.4599808,6.208069,Restaurant Tivoli Charles-Emile Ramel,46.45491380398763,6.218606822090123,Restaurant
37,Assens,46.6127871,6.6225936,Restaurant Major Davel,46.61380407626722,6.624131830151104,Diner
38,Assens,46.6127871,6.6225936,Restaurant Le Moulin d'Assens,46.614638,6.639044,Swiss Restaurant
39,Assens,46.6127871,6.6225936,Tai Po,46.601206,6.613702,Chinese Restaurant
40,Aubonne,46.4952916,6.3915748,L'Esplanade,46.492633,6.395722,French Restaurant
41,Aubonne,46.4952916,6.3915748,Hôtel Café du Commerce,46.49486602279323,6.391736291630966,French Restaurant
42,Aubonne,46.4952916,6.3915748,Le Tavernier,46.495621,6.391621,Tapas Restaurant
43,Aubonne,46.4952916,6.3915748,Boulangerie Standler,46.495342,6.3915386,Bakery
44,Aubonne,46.4952916,6.3915748,la toscana,46.50736,6.387081,Restaurant
45,Aubonne,46.4952916,6.3915748,La Toscane,46.5074,6.387108,Restaurant
46,Aubonne,46.4952916,6.3915748,L'Union,46.507674,6.387521,Café
47,Avenches,46.879575,7.040941,Girasol,46.88025118766613,7.041024380144771,Deli / Bodega
48,Avenches,46.879575,7.040941,Restaurant de l‘Union,46.88016,7.041169,Restaurant
49,Avenches,46.879575,7.040941,Restaurant Des Arcades,46.879516810315494,7.039693512027408,Swiss Restaurant
50,Avenches,46.879575,7.040941,La Dolce Vita,46.879797,7.040181,Italian Restaurant
51,Avenches,46.879575,7.040941,Boulangerie Pâtisserie Aeby,46.87937560034161,7.024369446978878,Bakery
52,Ballaigues,46.7305278,6.4132441,Chalet des Cernys,46.73359,6.403344,Swiss Restaurant
53,Ballaigues,46.7305278,6.4132441,La Thiolle,46.736868502053596,6.425941391342741,Swiss Restaurant
54,Ballens,46.5542745,6.3750843,Auberge Communale De Ballens,46.55462,6.3742642,Pizza Place
55,Bassins,46.464053,6.2316394,Boulangerie et Epicerie Badel Yvette,46.4718371436378,6.2297016593251255,Bakery
56,Baulmes,46.7903981,6.5212523,L'Auberge,46.78932122,6.52116732,Restaurant
57,Bavois,46.6852168,6.5651139,Burger King,46.674564,6.568835,Burger Joint
58,Bavois,46.6852168,6.5651139,Buvette des Peupliers,46.689321,6.559525,Restaurant
59,Bavois,46.6852168,6.5651139,Passaggio Restaurant,46.67455832934874,6.569254505256179,Restaurant
60,Bavois,46.6852168,6.5651139,Autogrill Bavois,46.674542211001736,6.568882203434506,Restaurant
61,Begnins,46.4424616,6.2471998,Café Du Raisin,46.44105798997391,6.249657752120604,Diner
62,Begnins,46.4424616,6.2471998,Ecu Vaudois,46.44063659662596,6.247666566587601,Swiss Restaurant
63,Begnins,46.4424616,6.2471998,Margaux Restaurant,46.4406941768731,6.248224340201901,Restaurant
64,Begnins,46.4424616,6.2471998,La Cezille,46.446165,6.232978,Steakhouse
