,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
61,Bursinel,46.438423,6.3053467,La Clef d'Or,46.4387396448216,6.305284751212318,French Restaurant
62,Bursinel,46.438423,6.3053467,Auberge Communale de Bursinel,46.43867953602788,6.305441801970933,Comfort Food Restaurant
63,Bursins,46.4515535,6.2906369,De l'Union,46.453666,6.29007,Swiss Restaurant
64,Bursins,46.4515535,6.2906369,Boulangerie Tea Room Fayet,46.451662,6.289861,Bakery
65,Bursins,46.4515535,6.2906369,Auberge du Soleil,46.451732828121216,6.290825716433888,Restaurant
66,Bussigny,46.5512503,6.553745,Fleur de Pains,46.548889592223134,6.553053608318228,Bakery
67,Bussigny,46.5512503,6.553745,Hotel de Ville,46.5503070949239,6.551978232278495,Food
68,Bussigny,46.5512503,6.553745,Restaurant Des Amis,46.552396,6.556057,Restaurant
69,Bussigny,46.5512503,6.553745,Pizzeria Dolce Vita,46.552387,6.556075,Pizza Place
70,Bussigny,46.5512503,6.553745,Auberge de L'Union,46.552441,6.556206,Restaurant
71,Bussigny,46.5512503,6.553745,Shanghai Garden,46.5479733,6.5528029,Chinese Restaurant
72,Bussy-Chardonney,46.5291113,6.4419818,La Ferme aux Saveurs d'Autrefois,46.52855447533856,6.444039656029903,Breakfast Spot
73,Bussy-Chardonney,46.5291113,6.4419818,L'Ecu Fédéral,46.52891374284097,6.44197977071293,Swiss Restaurant
74,Chamblon,46.7772764,6.6044112,Tilleul,46.779209904089974,6.606406388274673,Swiss Restaurant
75,Champagne,46.8302611,6.6580976,café du raisin,46.830468,6.658298,Diner
76,Champagne,46.8302611,6.6580976,Le 1424,46.827448,6.661101,Restaurant
77,Champvent,46.7828052,6.5726094,"Chez Ambre, Lady et GD",46.78358,6.570582,Bistro
78,Champvent,46.7828052,6.5726094,Boucherie Marendaz,46.782651,6.572682,BBQ Joint
79,Chardonne,46.4770903,6.8271259,Café Au Bon Vin,46.47686,6.82967,Swiss Restaurant
80,Chardonne,46.4770903,6.8271259,Là-Haut,46.476683,6.828509,Modern European Restaurant
81,Chardonne,46.4770903,6.8271259,Hinata Japanese Restaurant,46.481284,6.826812,Japanese Restaurant
82,Château-d'Œx,46.4739581,7.13056,Le chalet,46.473525202350395,7.133382814751564,Swiss Restaurant
83,Château-d'Œx,46.4739581,7.13056,"Early Beck, Chateau d'Oex",46.47405872128738,7.1313701890729355,Café
84,Château-d'Œx,46.4739581,7.13056,Buffet de la Gar,46.47472506404641,7.1323555171678334,Diner
85,Château-d'Œx,46.4739581,7.13056,La Braye,46.474331816493084,7.134372012865362,Swiss Restaurant
86,Chavannes-de-Bogis,46.3446425,6.1625796,Grill Box (street gourmet) 🍗🍟,46.34313853169046,6.161693193121109,Food Truck
87,Chavannes-de-Bogis,46.3446425,6.1625796,Auberge Le Relais,46.343519,6.161965,French Restaurant
88,Chavannes-de-Bogis,46.3446425,6.1625796,Nespresso Chavannes,46.344082576389056,6.164706070395238,Café
89,Chavannes-des-Bois,46.3147141,6.132561,Relais des Chasseurs,46.31382089240927,6.131385641058662,Restaurant
90,Chavannes-le-Chêne,46.7768814,6.7780279,Restaurant de l'Hôtel de Ville,46.77679264,6.77810288,French Restaurant
91,Chavannes-près-Renens,46.5293467,6.572993454923568,Indian Zayeka,46.527030316207394,6.573948590564259,Indian Restaurant
92,Chavannes-près-Renens,46.5293467,6.572993454923568,Fleur de Pains,46.52874638677079,6.566542051396329,Bakery
93,Chavannes-près-Renens,46.5293467,6.572993454923568,Café de Chavannes,46.52753137838731,6.5723808553877765,Gastropub
94,Chavannes-près-Renens,46.5293467,6.572993454923568,ChrisAli Table d'hôtes,46.5276997,6.575503799999979,Swiss Restaurant
95,Chavannes-près-Renens,46.5293467,6.572993454923568,Coop Restaurant Aclens personnel,46.5263565,6.570440899999999,Restaurant
96,Chavornay,46.7101091,6.564186303935761,Hôtel de la Gare,46.710433,6.568325,Diner
97,Chavornay,46.7101091,6.564186303935761,Boulangerie Pâtisserie Court & Fils,46.70939630190344,6.570451457467923,Bakery
98,Cheseaux-sur-Lausanne,46.584282349999995,6.599124803950971,McDonald's,46.58232810881881,6.601357029163465,Fast Food Restaurant
99,Cheseaux-sur-Lausanne,46.584282349999995,6.599124803950971,Au P'tit Bonheur,46.58433197,6.60442978,Restaurant
100,Cheseaux-sur-Lausanne,46.584282349999995,6.599124803950971,Boulangerie chez Bastian,46.58435835218891,6.604871476312263,Bakery
101,Cheseaux-sur-Lausanne,46.584282349999995,6.599124803950971,Max Poulet,46.5864027,6.6046401,Food Truck
102,Chéserex,46.3997632,6.1737875,Auberge des Platanes,46.40062256441723,6.17500441340738,French Restaurant
103,Chéserex,46.3997632,6.1737875,La Couronne,46.4000952449162,6.173894765312969,Swiss Restaurant
104,Chessel,46.3495725,6.8944469,BDS EHL Restaurant,46.35213,6.895591,Restaurant
105,Chevroux,46.8898441,6.9053929,Restaurant Du Jura,46.891265,6.904728,Swiss Restaurant
106,Chevroux,46.8898441,6.9053929,Café du Port,46.891342,6.903587,Swiss Restaurant
107,Chexbres,46.4809505,6.7803021,Lion D Or,46.48191192724741,6.776666384994004,Diner
108,Chexbres,46.4809505,6.7803021,Cafe De La Poste,46.480459,6.780834,Pizza Place
109,Chexbres,46.4809505,6.7803021,Lucien Moutarlier,46.481710432838504,6.7777228198393615,Bakery
110,Chexbres,46.4809505,6.7803021,Restaurant du Nord Pizzeria,46.482533,6.776071,Italian Restaurant
111,Coinsins,46.4245995,6.2359205,Auberge de la Réunion,46.42454664598129,6.235620975494385,Swiss Restaurant
112,Commugny,46.3182308,6.1757684,Motel le Leman,46.317271,6.174019,Pizza Place
113,Commugny,46.3182308,6.1757684,Hotel-Rotisserie Du Lac,46.31964618225963,6.174326420446671,French Restaurant
114,Commugny,46.3182308,6.1757684,Pizzeria Le Leman,46.317211,6.174094,Italian Restaurant
115,Coppet,46.3164464,6.1927752,Guillaume Bichet,46.315983,6.1928225,Bakery
116,Coppet,46.3164464,6.1927752,Confiserie de la Fontaine,46.31610974820411,6.1934206448382625,Bakery
117,Coppet,46.3164464,6.1927752,Auberge du Château,46.3162672748592,6.191892921924591,Restaurant
118,Coppet,46.3164464,6.1927752,Café Express,46.317378135154335,6.188032707047027,Café
119,Corcelles-le-Jorat,46.6058744,6.7407986,Auberge De Corcelles-Le-Jorat,46.606694,6.741153,Swiss Restaurant
120,Corseaux,46.4722747,6.8320071,Hotellerie De Chatonneyre,46.471829,6.833714,Restaurant
121,Corseaux,46.4722747,6.8320071,Palais Indien,46.47066116333008,6.826741695404053,Indian Restaurant
122,Corseaux,46.4722747,6.8320071,Boulangerie des Moulins,46.47071152822766,6.8378744981033055,Bakery
123,Corseaux,46.4722747,6.8320071,Trattoria Vevey-corseaux Plage,46.467971,6.833083,Trattoria/Osteria
124,Cossonay,46.6138202,6.508938,Restaurant Le Cerf,46.614233597785535,6.508806671003452,Restaurant
